Cd.México	Acapulco	Aguascalientes	Atlacomulco	Campeche	Cancún	Cd.Acuña	Cd.Jiménez	Cd.Juárez	Chetumal	Chihuahua	Coatzacoalcos	Colima	Córdoba	Cortazar	Cuernavaca	Culiacán	Durango	Esperanza	Fresnillo	Guadalajara	Hermosillo	Huatabampo	Iguala	IzúcarDeMatamoros	Jacona	LaPaz	León	Matamoros	Mérida	Mexicali	Monclova	Monterrey	Morelia	Oaxaca	Pachuca	Puebla	Querétaro	Saltillo	SanAndrésTuxtla	SanLuisPotosí	Tampico	Tapachula	Tehuantepec	Tepatitlán	Tepic	Tijuana	Tlaxcala	Toluca	Torreón	Tulancingo	TuxtlaGutiérrez	Veracruz	Villahermosa	Zacatecas
98.359	98.667	98.632	-	99.526	-	103.563	99.712	100.619	101.165	99.004	-	98.486	98.762	98.716	98.359	105.595	98.131	-	98.445	98.504	101.515	106.674	97.916	-	98.510	101.526	98.512	100.594	98.877	105.611	99.945	99.426	98.519	98.447	-	98.585	97.756	-	98.494	98.801	99.497	98.549	99.409	98.905	97.766	97.906	98.586	98.486	99.600	98.985	-	99.741	99.662	-
98.726	99.209	98.891	-	99.888	-	103.724	99.802	100.995	101.012	99.461	-	98.682	99.087	98.145	98.667	106.004	98.504	-	98.736	98.872	101.779	106.875	98.284	-	98.664	101.748	98.629	101.013	99.395	106.075	100.094	99.817	98.685	98.765	-	98.660	98.139	-	99.074	99.089	99.745	99.141	99.375	99.150	98.485	98.311	98.626	98.903	99.791	98.866	-	100.351	100.221	-
98.604	98.830	98.969	-	98.873	-	98.317	99.527	101.010	99.755	99.341	-	98.661	99.066	98.168	98.747	106.048	98.534	-	98.468	98.766	101.848	107.175	98.073	-	98.632	101.435	98.969	101.293	98.209	106.221	98.783	98.909	98.642	98.832	-	98.638	98.283	-	98.533	98.998	98.875	99.209	98.489	99.337	98.060	98.239	99.062	98.740	98.739	98.636	-	98.930	99.115	-
99.028	99.064	99.092	-	99.155	-	98.840	98.863	99.376	99.545	99.004	-	98.621	99.231	98.486	99.178	98.990	98.756	-	98.336	99.201	99.019	98.927	98.740	-	98.970	98.643	99.186	99.234	98.646	98.726	99.266	98.899	98.811	98.939	-	99.190	98.308	-	99.019	99.142	99.119	99.472	98.739	99.243	98.213	98.759	99.406	99.122	98.744	98.976	-	99.211	99.278	-
99.473	99.351	99.334	-	99.409	-	99.540	99.119	99.572	99.478	99.387	-	99.041	99.385	99.087	99.554	99.154	99.158	-	99.119	99.556	99.282	99.149	98.817	-	99.251	99.102	99.328	99.713	99.310	99.262	99.267	99.263	99.282	99.379	-	99.481	98.944	-	99.622	99.219	99.280	99.828	99.446	99.386	98.860	99.394	99.374	99.376	99.468	99.295	-	99.316	99.565	-
99.947	99.929	99.916	-	99.883	-	99.942	99.853	99.990	99.894	99.908	-	99.916	99.872	99.797	99.908	99.803	99.891	-	99.882	99.972	99.942	99.816	99.690	-	99.875	99.804	99.849	99.950	99.961	100.008	99.793	99.863	99.919	99.893	-	99.911	99.823	-	99.929	99.855	99.900	99.917	99.944	99.969	99.916	99.897	99.939	99.831	99.813	99.796	-	99.828	99.925	-
100.519	100.694	100.592	100.374	100.462	100.287	100.668	100.593	100.472	100.683	100.319	100.688	100.206	100.547	100.805	100.458	100.605	100.339	100.238	100.847	100.447	100.465	100.405	100.466	100.477	100.300	100.461	100.150	100.737	100.352	100.314	100.454	100.479	100.555	100.445	100.517	100.796	100.379	100.539	100.329	100.754	100.512	100.880	100.226	100.401	100.311	100.445	100.687	100.180	100.494	100.116	100.661	100.249	100.250	100.348
100.831	100.921	101.035	100.926	100.815	100.587	101.047	100.874	101.098	101.059	100.543	100.824	100.703	100.997	101.114	100.790	101.163	100.844	100.721	101.538	101.093	100.638	101.147	101.179	100.851	100.969	101.037	100.732	101.644	100.980	100.946	101.180	100.836	100.809	100.983	100.877	101.016	101.027	100.875	100.440	101.236	100.946	101.137	101.511	100.754	100.749	101.257	100.964	100.549	100.576	100.380	101.051	100.552	100.644	101.059
101.157	101.488	101.079	100.955	102.353	102.096	105.024	101.082	101.583	102.714	100.945	101.716	100.967	101.304	101.341	101.092	101.356	101.127	101.020	102.038	101.292	100.997	101.315	101.860	100.991	101.435	101.440	101.164	101.825	102.050	101.269	103.282	102.243	101.015	101.514	101.128	101.363	101.226	101.021	101.122	101.260	102.854	101.464	102.923	101.024	100.959	101.779	101.236	100.624	101.781	100.764	101.402	102.053	102.133	101.459
101.688	102.145	101.578	101.703	102.711	102.391	104.978	102.422	103.947	103.074	102.580	102.000	101.890	101.844	101.470	101.765	105.153	101.641	105.213	102.648	101.621	105.562	105.024	101.929	101.700	101.687	104.408	101.561	104.393	102.590	107.235	103.022	102.704	101.117	101.970	101.731	102.468	101.983	101.678	101.847	101.820	102.714	102.118	103.463	101.451	101.407	102.566	102.272	100.964	102.350	101.744	101.790	102.511	102.204	101.817
102.585	103.068	102.116	102.979	103.161	103.242	105.002	102.810	104.189	103.936	103.051	102.614	102.444	102.574	102.673	102.792	105.335	102.054	105.356	103.370	102.073	106.389	105.400	102.393	102.937	102.677	104.899	102.169	104.546	103.207	107.676	103.293	103.310	101.506	102.785	102.340	103.483	102.859	102.292	102.834	102.315	103.201	103.273	104.581	102.484	101.906	103.168	102.915	102.276	102.929	102.543	102.295	103.351	102.498	101.982
102.653	104.669	102.634	103.530	103.675	103.420	104.811	103.718	102.826	104.037	103.174	102.823	102.455	102.653	102.836	102.687	105.562	102.636	105.216	103.694	102.078	106.252	106.207	102.932	103.207	103.148	104.974	102.434	103.565	103.322	106.065	103.525	103.548	101.889	103.102	102.528	103.410	103.735	102.395	103.574	102.938	103.436	102.816	104.438	102.502	102.258	101.579	102.863	102.327	104.156	102.795	102.075	103.307	102.936	102.082
102.513	104.136	102.657	102.470	103.918	104.057	104.324	104.221	102.716	104.306	103.564	102.658	102.561	102.327	102.877	102.549	105.678	102.951	105.416	103.216	102.468	106.111	106.403	102.463	102.543	103.245	105.310	102.357	103.939	103.576	106.258	103.621	103.791	101.599	102.847	102.366	103.073	103.271	102.670	103.225	103.167	103.507	102.133	104.806	102.600	102.606	101.428	102.318	102.420	104.194	102.813	102.103	103.273	103.063	102.204
102.859	103.991	102.931	103.017	104.504	104.421	104.934	104.412	103.123	104.750	104.200	102.953	103.201	103.054	102.956	102.912	106.238	103.197	105.804	103.313	103.275	106.577	106.785	102.551	102.681	103.576	106.251	102.754	104.159	104.221	106.794	103.984	104.090	102.131	102.978	102.813	103.587	103.556	103.113	103.295	103.424	103.529	102.446	105.477	103.157	102.860	102.218	102.824	102.461	104.429	103.056	102.496	103.412	103.551	102.455
103.291	104.210	102.781	103.295	103.794	103.973	102.026	104.733	103.370	103.880	104.539	102.245	103.339	103.300	103.055	103.523	106.521	103.361	105.969	103.427	103.646	106.768	106.726	102.375	102.980	103.568	106.562	102.919	104.242	103.484	106.913	102.521	102.993	102.067	103.374	103.171	103.751	103.993	103.546	103.818	103.565	101.744	102.902	104.514	103.795	102.909	102.656	102.912	102.758	103.569	103.469	102.887	102.399	102.766	102.443
